Time,GDP_1,GDP_2,GDP_3,CPI_1,CPI_2,CPI_3,STN_1,STN_2,STN_3,GDP_resid_1,GDP_resid_2,GDP_resid_3,CPI_resid_1,CPI_resid_2,CPI_resid_3,STN_resid_1,STN_resid_2,STN_resid_3,Oil_1,Oil_2,Oil_3
2014-Q3,1.930290154,1.930290154,1.930290154,1.283036682,1.283036682,1.283036682,0.09,0.09,0.09,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2014-Q4,2.678003206,2.678003206,2.678003206,0.623552252,0.623552252,0.623552252,0.1,0.1,0.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2015-Q1,1.3382983189773,2.44070399331246,3.65890380165636,-0.154481441784586,0.72641088173413,1.58369784959506,-1.04211038681687,0.132342837827105,1.24977490400611,-1.10281221483502,-0.0347045683552341,1.23219110773411,-0.853003937596585,-0.00948211955484334,0.839047250430077,-1.07438267943797,0.0172202184633212,1.10323214654913,94.32,94.32,94.32
2015-Q2,0.60275634248216,2.31472480077389,3.88349496304647,-0.269087546945258,0.932076531777148,2.191809508211,-1.4369449786501,0.132952658406009,1.63890767179025,-1.18178798673694,0.00939683615745568,1.19489253967321,-0.734837252337366,0.0401085527448009,0.923370307601144,-1.02038895310476,0.0453453360885934,1.14114422095977,94.32,94.32,94.32
2015-Q3,0.348889974635309,2.16477266128329,3.86101937960371,-0.446414697467173,1.04239744552696,2.52969379032925,-1.92993197254765,0.10072582011601,2.11926307643576,-1.2001416340654,-0.0197921000081605,1.18324109910755,-0.839123559153276,0.0185162162671168,0.817202651961261,-1.08692347349139,-0.0434555708971699,1.17394699221099,94.32,94.32,94.32
2015-Q4,0.0029189638010465,1.91889053171044,3.83510848065587,-0.541167208551853,1.17433474533719,2.95896421886523,-2.2374338116419,0.10685012734642,2.3235427405633,-1.20479933181806,0.0104915104855626,1.12302695954092,-0.75189109718328,-0.0322484317806741,0.792784992229529,-1.11582303502984,-0.052780027773648,1.12988264460181,94.32,94.32,94.32
2016-Q1,-0.210472374346092,1.81661430144869,3.65230127172567,-0.773537119573202,1.25541849469049,3.22744749175018,-2.53038920878559,0.106158381182299,2.56279766827257,-1.18186355354609,0.0006027973807475,1.12064702020743,-0.788197587085437,0.0176843430947731,0.848363841999036,-1.09945426990845,0.0319584154375814,1.12051356674669,94.32,94.32,94.32
2016-Q2,-0.379990470326777,1.72546775299188,3.64740730988334,-0.826905384710372,1.35786687396292,3.37132349992563,-2.73774683644486,0.0571983196054464,2.80912342797966,-1.08395020156805,-0.00782306172489143,1.1071340624909,-0.829767776267178,-0.0323150285458479,0.777173603284347,-1.1378801014174,0.0140153314249779,1.13368325509805,94.32,94.32,94.32
2016-Q3,-0.321721923872629,1.65160130629621,3.66866121834548,-0.867242818231875,1.29464234711263,3.55311901106616,-3.0677980106029,0.0783422358738226,3.09962584563953,-1.17005285396599,0.109475468612302,1.10627588417864,-0.759655441415143,0.00790138903246122,0.847977345877861,-1.06046479203074,0.0211435773186606,1.14941182748527,94.32,94.32,94.32
2016-Q4,-0.464614018438224,1.46986447517508,3.55772941105761,-1.06335483518648,1.42521571083826,3.73499971903753,-3.35296703923418,0.0474372291698898,3.47152184076078,-1.22974310239789,-0.057246245669474,1.20366708770527,-0.856323325580005,-0.0173693048165197,0.843596487987761,-1.19168455980141,-0.0486423340248798,1.09733134487954,94.32,94.32,94.32
