Time,GDP_1,GDP_2,GDP_3,CPI_1,CPI_2,CPI_3,STN_1,STN_2,STN_3,GDP_resid_1,GDP_resid_2,GDP_resid_3,CPI_resid_1,CPI_resid_2,CPI_resid_3,STN_resid_1,STN_resid_2,STN_resid_3,Oil_1,Oil_2,Oil_3
2014-Q3,1.930290154,1.930290154,1.930290154,1.283036682,1.283036682,1.283036682,0.09,0.09,0.09,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2014-Q4,2.678003206,2.678003206,2.678003206,0.623552252,0.623552252,0.623552252,0.1,0.1,0.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2015-Q1,1.18663995747674,2.4506899804841,3.62881684364196,-0.102694516555457,0.772158593016981,1.56531419241461,-1.06303283803713,0.0480106510683107,1.24508929076284,-1.28443925902074,-0.0187957256857097,1.16042084125373,-0.803491866554555,0.0317241021734146,0.811349568311912,-1.11572814328532,-0.0561967731563076,1.07068022721229,94.32,94.32,94.32
2015-Q2,0.585536635643593,2.1215065941096,3.85038745788065,-0.325024203152283,0.916793955994031,2.06398391731924,-1.72994729797844,0.00421514033077422,1.60636668926578,-1.27553006023031,-0.022228062379748,1.24970394187096,-0.880135253778997,0.00486289063281287,0.833462478681809,-1.17105287663361,-0.0149335472563485,1.03898128267788,94.32,94.32,94.32
2015-Q3,0.231415724583555,2.02666003735609,3.82588561017197,-0.557446195623508,1.05879355968357,2.48507335478407,-2.12976940764711,-0.0233337701747961,1.94310216461192,-1.14617111012201,-0.0397468686590919,1.13144878823711,-0.770746161316381,0.0140770085660618,0.757588081972228,-1.08739007732194,-0.0159969825444201,1.0349162225355,94.32,94.32,94.32
2015-Q4,-0.0628006967063389,1.81090097527321,3.8047912179202,-0.731474765297189,1.06971522435696,2.74927820531062,-2.58982542417419,-0.0565346109998058,2.15447305060092,-1.17907673686648,-0.0707627679128634,1.19139272816812,-0.860950727896127,-0.0322129835265954,0.755393153173782,-1.18296168271778,-0.0281641929392275,1.12853803226288,94.32,94.32,94.32
2016-Q1,-0.129167429192113,1.73239795660602,3.71010446174081,-0.768350331302291,1.13910200923724,3.14741335900608,-2.97899888450821,-0.0403386862059379,2.43456033601812,-1.10801417001117,0.0514719939158612,1.20773116507411,-0.75294307575237,0.0255054333868288,0.832544829616106,-1.08647837329038,0.0239880960061118,1.13619436170875,94.32,94.32,94.32
2016-Q2,-0.251385845928622,1.67461171542079,3.67062734353038,-0.863040375664645,1.25848887506721,3.37525845235674,-3.02742877184232,0.022042479556887,2.71644267122034,-1.12866490812218,0.0243871520793357,1.17965193413003,-0.852416596237154,0.0376336110323137,0.878973722382091,-1.02842038654666,0.00970708581936165,1.09490619957763,94.32,94.32,94.32
2016-Q3,-0.329215880817276,1.70654412356956,3.81112173011415,-0.779366492844199,1.34577004943627,3.55559398667881,-3.29664739108149,-0.0107894383087939,3.04341063957774,-1.18963310269794,0.0275598971739553,1.25069143638174,-0.786239868229601,0.0281875896601745,0.826277797392187,-1.08467986318178,0.0417135510424163,1.16098207422377,94.32,94.32,94.32
2016-Q4,-0.268558150262632,1.68812831541167,3.93651863399758,-0.801955096299046,1.46489705965637,3.68954198600186,-3.31387650533911,-0.0195728806486815,3.43438936456288,-1.13331639323886,0.113234303479728,1.31019096690722,-0.787121875154674,0.0375563810868187,0.845090149086966,-1.10544624780283,0.0632301659007345,1.21058687641376,94.32,94.32,94.32
