Time,GDP___DEM_1,GDP___DEM_2,GDP___DEM_3,GDP___SUP_1,GDP___SUP_2,GDP___SUP_3,GDP___POL_1,GDP___POL_2,GDP___POL_3,GDP___Exogenous_1,GDP___Exogenous_2,GDP___Exogenous_3,GDP___Initials_1,GDP___Initials_2,GDP___Initials_3,CPI___DEM_1,CPI___DEM_2,CPI___DEM_3,CPI___SUP_1,CPI___SUP_2,CPI___SUP_3,CPI___POL_1,CPI___POL_2,CPI___POL_3,CPI___Exogenous_1,CPI___Exogenous_2,CPI___Exogenous_3,CPI___Initials_1,CPI___Initials_2,CPI___Initials_3,STN___DEM_1,STN___DEM_2,STN___DEM_3,STN___SUP_1,STN___SUP_2,STN___SUP_3,STN___POL_1,STN___POL_2,STN___POL_3,STN___Exogenous_1,STN___Exogenous_2,STN___Exogenous_3,STN___Initials_1,STN___Initials_2,STN___Initials_3
1977-Q1,0.258403996498961,0.377104360922641,0.488805956771915,0,0,0,0,0,0,0.248324070810023,0.425449095332501,0.590285806354274,1.45705404746489,1.6093475953961,1.76786928407427,0.0188950500654661,0.0423396656218125,0.0708592337521945,0.83890554408983,0.913339147780393,0.995913900211178,0,0,0,-0.0867923548338325,0.0286660848204269,0.15171584818709,3.7496813353744,3.8542096371483,3.95598541483745,0.0483362686463438,0.0881900735699157,0.133934239090142,0.039484665075267,0.168927606385002,0.295498687241407,-0.615101811337023,-0.462659751833346,-0.291165395173821,-0.167975753402874,-0.00406459114992213,0.151599668283832,4.72833658774229,4.87204909104265,5.01371830422161
1977-Q2,1.54468743606425,1.76988673348171,1.97996099654583,-0.0821941595824473,-0.0209286861984651,0.0448895672763475,-0.0230437129120614,-0.00126630166994711,0.0184342200153243,0.474312616085158,0.826163944871915,1.13302523302035,1.01934341977059,1.27708259823516,1.56067817880921,0.114709947156021,0.223318838307013,0.345039526456227,0.741787380722798,0.911534895628141,1.09244933763072,-0.0231041287318637,-0.00833009146280334,0.00379379721081951,-0.162399947704213,0.0712683974644648,0.319302786797682,3.58823362377851,3.78242796429046,3.97596394033069,0.291997786493976,0.447410742847984,0.615783764093756,0.0426907238679097,0.174213346723516,0.312759930105242,-0.603835226558635,-0.35468571650942,-0.0582498625809883,-0.309745653029878,0.0136456037745714,0.30875196653682,4.61462595632666,4.8805949052419,5.14141936278648
1977-Q3,2.43292996203316,2.73019029590513,3.02497591614574,-0.112674054121829,-0.0425306041338177,0.0260053448883713,-0.0129140602952779,0.00558751199063731,0.026352586530707,0.688219660287285,1.18761142197037,1.61443915839035,0.62862344761962,0.98078036639988,1.3788060307539,0.229886871667383,0.409847230645954,0.620005733287199,0.402803886796455,0.677797041502286,0.940558670855915,-0.0208181986642926,-0.00352075273417765,0.00746403241172515,-0.221186110123677,0.121804572594231,0.47883634307426,3.42445657223913,3.70689010135383,3.98432596250071,0.502949976252227,0.7933517008102,1.0433431471963,0.0293857144512547,0.139137861352594,0.279752082447714,-0.370426349332091,-0.0161442204632601,0.372300531989518,-0.43246959137878,0.03911562122276,0.466283705355743,4.49888967286247,4.88622683163243,5.26370795188429
1977-Q4,1.17322876991396,1.53725409569295,1.89170781534779,-0.128239566328443,-0.0581065139778843,0.00891720035533775,-0.00570311456575891,0.0122144026321514,0.0340521155680245,0.887169115043461,1.5093701612778,2.0293186676204,0.276199451687126,0.712542902406693,1.20580131576254,0.21180550685778,0.37031786966026,0.58142190488504,0.058239846312668,0.358680472282553,0.648053065705499,-0.0116257283073052,0.00442290057313153,0.0175745239829157,-0.269757032640119,0.186929481521101,0.648364764602436,3.26138886650655,3.62287191478353,3.99495019417973,0.386751804887876,0.627728863120507,0.901430891351413,0.00396824485418569,0.0980073348611853,0.213082505684095,0.457506097819242,0.850587858701904,1.25190385280797,-0.546099097861215,0.0672788399438773,0.625575140751359,4.38441740481872,4.87229318250719,5.36547059092237
1978-Q1,-0.539272653227345,-0.112821595323117,0.299555390150768,-0.134900709486867,-0.0646477088169138,0.00278125566243694,-0.0265150940226081,0.0159106471837028,0.0559309932005784,1.06612894720736,1.79517069474364,2.41175410515364,-0.0289449649845422,0.470295477799147,1.04222095089212,0.0495126769709162,0.218691972569427,0.406400168320744,0.173870096493715,0.483873725028989,0.825856760946741,-0.00404213747302725,0.0202804031025184,0.0476563377728378,-0.307988264667575,0.25100244268081,0.808274291053869,3.10697935694238,3.53442803930624,3.98676125375728,0.056792703797427,0.285639012589746,0.562766748067508,0.021296039240341,0.127439177296304,0.26776272037575,0.940876296092408,1.38609590700592,1.85631177248864,-0.651638807369589,0.111098979920863,0.791816006917088,4.26851951464203,4.85442588117252,5.45255885256582
1978-Q2,1.44089795294,1.92256335624875,2.39694693519187,-0.155365017611276,-0.0701301254114061,0.00379458344559049,-0.0656569363028475,0.00312038927827181,0.0669410507320374,1.24292739911822,2.0558206620264,2.75223035265168,-0.296096435696519,0.255254754400909,0.902143987635343,0.198983452690507,0.418066843702672,0.679447831463859,0.756227831648818,1.1598304670897,1.57999653647465,-0.0152255566314577,0.0277188343452609,0.0712509271076961,-0.335534935216822,0.325159660997927,0.98576180884944,2.94817678258724,3.43546064726946,3.97730802053408,0.439959047629263,0.756578277001493,1.11156146564634,0.0760313528377959,0.252596523635034,0.482825899173554,0.720968399706992,1.2795475424913,1.88412666226469,-0.735780196159376,0.162705499401088,0.957018718672468,4.1397265533815,4.82581573229612,5.52786102637095
1978-Q3,2.33800613197094,2.88346849248775,3.40273155480611,-0.214686330503915,-0.0889185376256419,0.0131653946512604,-0.0937775169638242,-0.0178182265378338,0.0424947369279732,1.39927777396026,2.29194421426296,3.05297650543059,-0.519951221426372,0.0646864951841341,0.77736700066979,0.332207902119119,0.611488714637793,0.96907961463301,1.32010755166001,1.82442803903791,2.31192611246341,-0.0284142728198146,0.0182891210569626,0.064611294746017,-0.348256724912066,0.416158758745013,1.15994315214405,2.79731503575941,3.33977163683126,3.95727501876451,0.690230281348714,1.10308520253222,1.57435467248527,0.11996753526982,0.389015057578013,0.706228519894184,0.910439360990564,1.59416622583862,2.3520654076503,-0.822942701170446,0.222605772188328,1.12930841604643,4.02273769725086,4.79907813352962,5.57993167010208
1978-Q4,3.30203119995398,3.89653994504418,4.47149614481625,-0.308413685387661,-0.128053831814237,0.0250302873197496,-0.136925967384205,-0.0338734036386018,0.0431650174975633,1.5436103316976,2.50171257495467,3.32153606789692,-0.725946408716265,-0.112629589918434,0.665450898005319,0.461630250490513,0.830173301010551,1.30126306012779,1.58692173760535,2.21353491695876,2.79463129407229,-0.046786116653837,0.0176102369714832,0.0789541703183356,-0.3641110774857,0.501481228738782,1.32829417339631,2.63877381952296,3.2431350934492,3.93441903531348,0.946094760088484,1.4844219355974,2.0989867186781,0.143243166696077,0.476172115535289,0.873757951972841,1.72806916566572,2.55212108487983,3.45799369919306,-0.899142947882045,0.284030200949212,1.30834663466891,3.90635311014795,4.76196912006982,5.6423622009001
1979-Q1,-0.335159689696042,0.307573882613945,0.949977120888811,-0.406874908177591,-0.172421315319814,0.0241879268523624,-0.206724015492613,-0.0545431855065663,0.0741872364571832,1.65464268555398,2.66733733827214,3.54292849008989,-0.92600657561081,-0.259410587575506,0.554897238303857,0.180886933897966,0.557676792302631,0.988609337999527,2.11961589084039,2.72515901299344,3.36373977928966,-0.0760980495876772,0.0294200706674603,0.122800465224621,-0.378830771404391,0.598278108357807,1.5015809190783,2.48074467310015,3.143370022773,3.88965757890965,0.304267333584955,0.8068077180367,1.43085512648902,0.192933314107983,0.609792743786058,1.08980059544524,2.67424728832971,3.5504860298153,4.55582938567455,-0.974585629454709,0.34110309055928,1.46859536796956,3.79760202346856,4.71891009713414,5.69315742608498
1979-Q2,-1.13449752443803,-0.455670617862793,0.244749777641811,-0.511939973135128,-0.232456541952901,0.0250225425945976,-0.299194715781492,-0.0873051950631048,0.0991971005325483,1.72918402765671,2.79516421545056,3.71315184665644,-1.09195639241877,-0.393592922148308,0.461472183959404,0.0424009172417151,0.432116288287742,0.866093209423211,3.04386611319961,3.69019453221754,4.3941460365168,-0.117061846509638,0.0359332247426715,0.172822886851481,-0.361580696957281,0.69244981272437,1.66726198958768,2.338858694406,3.04363962975704,3.85467664231654,0.0676759076260602,0.588159805817029,1.24895184066199,0.273153376577619,0.833186832432635,1.45256403180289,2.65802371602227,3.66526590169058,4.79093796475471,-1.02983839499239,0.405614382203734,1.59716262242794,3.67625317589314,4.67494318682485,5.7302263765409
